STRUCTURE_NAME,Sex_M/F,Health_Status,Health status,Year,Value
Health status,M,G,Good/very good health,2017,91.2
Health status,M,G,Good/very good health,2014,90.5
Health status,M,B,Bad/very bad health,2017,3.6
Health status,M,B,Bad/very bad health,2014,4.2
Health status,M,G,Good/very good health,2022,76.5
Health status,M,G,Good/very good health,2017,72.9
Health status,M,G,Good/very good health,2014,74.6
Health status,F,G,Good/very good health,2022,90.6
Health status,F,G,Good/very good health,2017,90.6
Health status,F,G,Good/very good health,2014,91.8
Health status,M,G,Good/very good health,2022,85.6
Health status,M,G,Good/very good health,2017,84.8
Health status,M,G,Good/very good health,2014,85.4
Health status,F,B,Bad/very bad health,2022,3.9
Health status,F,B,Bad/very bad health,2017,3.9
Health status,F,B,Bad/very bad health,2014,4.6
Health status,F,G,Good/very good health,2022,72.5
Health status,F,G,Good/very good health,2017,75.8
Health status,F,G,Good/very good health,2014,73.5
Health status,M,B,Bad/very bad health,2022,3.5
Health status,M,G,Good/very good health,2022,86.2
Health status,M,G,Good/very good health,2017,84.4
Health status,M,G,Good/very good health,2014,85.7
Health status,M,F,"Fair (not good, not bad) health",2022,10.8
Health status,M,F,"Fair (not good, not bad) health",2017,11.5
Health status,M,F,"Fair (not good, not bad) health",2014,10.6
Health status,F,G,Good/very good health,2022,84.5
Health status,F,G,Good/very good health,2017,85.6
Health status,F,G,Good/very good health,2014,85.1
Health status,F,F,"Fair (not good, not bad) health",2022,11.7
Health status,F,F,"Fair (not good, not bad) health",2017,10.5
Health status,F,F,"Fair (not good, not bad) health",2014,10.2
Health status,F,G,Good/very good health,2022,84.3
Health status,F,G,Good/very good health,2017,86.1
Health status,F,G,Good/very good health,2014,86.3
Health status,M,B,Bad/very bad health,2022,8.6
Health status,M,B,Bad/very bad health,2021,7.7
Health status,M,G,Good/very good health,2018,70.6
Health status,M,G,Good/very good health,2017,70.4
Health status,M,G,Good/very good health,2016,70.3
Health status,M,G,Good/very good health,2015,71.6
Health status,M,G,Good/very good health,2014,70.5
Health status,F,G,Good/very good health,2021,52.9
Health status,F,G,Good/very good health,2020,52.4
Health status,F,G,Good/very good health,2019,50.4
Health status,F,G,Good/very good health,2018,49.6
Health status,F,G,Good/very good health,2017,45.4
Health status,F,G,Good/very good health,2016,48.4
Health status,F,G,Good/very good health,2015,44.9
Health status,F,G,Good/very good health,2014,46.4
Health status,M,G,Good/very good health,2023,67.2
Health status,M,G,Good/very good health,2022,67.4
Health status,M,G,Good/very good health,2021,69.2
Health status,M,G,Good/very good health,2020,71.7
Health status,M,G,Good/very good health,2019,69.1
Health status,F,B,Bad/very bad health,2020,7.4
Health status,F,B,Bad/very bad health,2019,8.3
Health status,F,B,Bad/very bad health,2018,8.4
Health status,F,B,Bad/very bad health,2017,9
Health status,F,B,Bad/very bad health,2016,8.7
Health status,F,B,Bad/very bad health,2015,9.3
Health status,F,B,Bad/very bad health,2014,10
Health status,F,G,Good/very good health,2023,67.5
Health status,F,G,Good/very good health,2022,69.7
Health status,F,G,Good/very good health,2021,73
Health status,F,G,Good/very good health,2020,74.6
Health status,F,G,Good/very good health,2019,72.1
Health status,F,G,Good/very good health,2018,73
Health status,F,G,Good/very good health,2017,73.1
Health status,F,G,Good/very good health,2016,71.9
Health status,F,G,Good/very good health,2015,73
Health status,F,G,Good/very good health,2014,70.8
Health status,F,G,Good/very good health,2023,81.8
Health status,F,G,Good/very good health,2022,85.6
Health status,F,G,Good/very good health,2021,87.2
Health status,F,G,Good/very good health,2020,88.1
Health status,F,G,Good/very good health,2019,86
Health status,F,G,Good/very good health,2018,84.8
Health status,F,G,Good/very good health,2017,85
Health status,F,G,Good/very good health,2016,84
Health status,F,G,Good/very good health,2015,84.2
Health status,F,G,Good/very good health,2014,85.1
Health status,F,G,Good/very good health,2023,52.1
Health status,F,G,Good/very good health,2022,48.6
Health status,M,B,Bad/very bad health,2020,7.6
Health status,M,B,Bad/very bad health,2019,7.2
Health status,M,B,Bad/very bad health,2018,7.8
Health status,M,B,Bad/very bad health,2017,7
Health status,M,B,Bad/very bad health,2016,7.6
Health status,M,B,Bad/very bad health,2015,8.2
Health status,M,B,Bad/very bad health,2014,7.7
Health status,F,G,Good/very good health,2023,67.8
Health status,F,G,Good/very good health,2022,68.6
Health status,F,G,Good/very good health,2021,71.8
Health status,F,G,Good/very good health,2020,73.3
Health status,F,G,Good/very good health,2019,70.5
Health status,F,G,Good/very good health,2018,70.3
Health status,F,G,Good/very good health,2017,68.7
Health status,F,G,Good/very good health,2016,68.5
Health status,F,G,Good/very good health,2015,67.9
Health status,F,G,Good/very good health,2014,67.2
Health status,F,F,"Fair (not good, not bad) health",2023,24.1
Health status,F,F,"Fair (not good, not bad) health",2022,23.1
Health status,F,F,"Fair (not good, not bad) health",2021,21.1
Health status,F,F,"Fair (not good, not bad) health",2020,19.3
Health status,F,F,"Fair (not good, not bad) health",2019,21.2
Health status,F,F,"Fair (not good, not bad) health",2018,21.3
Health status,F,F,"Fair (not good, not bad) health",2017,22.2
Health status,F,F,"Fair (not good, not bad) health",2016,22.9
Health status,F,F,"Fair (not good, not bad) health",2015,22.8
Health status,F,F,"Fair (not good, not bad) health",2014,22.7
Health status,M,G,Good/very good health,2023,60.7
Health status,M,G,Good/very good health,2022,63.4
Health status,M,G,Good/very good health,2021,64.4
Health status,M,G,Good/very good health,2020,63.5
Health status,M,G,Good/very good health,2019,59.5
Health status,M,G,Good/very good health,2018,62.1
Health status,M,G,Good/very good health,2017,57.7
Health status,M,G,Good/very good health,2016,61.7
Health status,M,G,Good/very good health,2015,57.7
Health status,M,G,Good/very good health,2014,59.8
Health status,M,G,Good/very good health,2023,70.7
Health status,M,G,Good/very good health,2022,71.7
Health status,M,G,Good/very good health,2021,72.6
Health status,M,G,Good/very good health,2020,74.8
Health status,M,G,Good/very good health,2019,72
Health status,M,G,Good/very good health,2018,73.2
Health status,M,G,Good/very good health,2017,72
Health status,M,G,Good/very good health,2016,72
Health status,M,G,Good/very good health,2015,71.8
Health status,M,G,Good/very good health,2014,71.9
Health status,M,G,Good/very good health,2023,85.1
Health status,M,G,Good/very good health,2022,87.6
Health status,M,G,Good/very good health,2021,87.2
Health status,M,G,Good/very good health,2020,84.3
