REF_AREA,Reference area,Unit of measure,TIME_PERIOD,OBS_VALUE,,,,,,,,,,,,,,,,,,,,,,DECIMALS,Decimals
HRV,Croatia,Litres per person,2014,10.3,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,Litres per person,2015,10.2,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,Litres per person,2016,10.3,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,Litres per person,2017,10.2,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,Litres per person,2018,10.1,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,Litres per person,2019,10.1,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,Litres per person,2020,9,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,Litres per person,2014,8.8,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,Litres per person,2015,8.8,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,Litres per person,2016,8.9,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,Litres per person,2017,8.9,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,Litres per person,2018,8.9,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,Litres per person,2019,9,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,Litres per person,2020,9.2,,,,,,,,,,,,,,,,,,,,,,,
USA,United States,Litres per person,2021,9.5,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,Litres per person,2014,10.9,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,Litres per person,2015,11.5,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,Litres per person,2016,10.5,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,Litres per person,2017,10.1,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,Litres per person,2018,10,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,Litres per person,2019,11.1,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,Litres per person,2020,9.8,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,Litres per person,2021,10.6,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,Litres per person,2022,10,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,Litres per person,2014,10.1,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,Litres per person,2015,9.9,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,Litres per person,2016,10,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,Litres per person,2017,9.7,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,Litres per person,2018,9.7,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,Litres per person,2019,9.5,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,Litres per person,2020,9.7,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,Litres per person,2021,10.4,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,Litres per person,2022,9.5,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Litres per person,2014,11.1,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Litres per person,2015,11.1,,,,,,,,,,,,,,,,,,,,,,,
